Number of all enter event candidates: 8891
candidates per time window:
tw 0: 1, average value: 5.0
tw 1: 1, average value: 1.0
tw 2: 2, average value: 3.0
tw 3: 3, average value: 3.3333333333333335
tw 4: 4, average value: 1.75
tw 5: 3, average value: 3.6666666666666665
tw 6: 6, average value: 1.6666666666666667
tw 7: 4, average value: 1.25
tw 8: 1, average value: 4.0
tw 9: 2, average value: 1.0
tw 10: 10, average value: 2.5
tw 11: 9, average value: 1.7777777777777777
tw 12: 10, average value: 2.2
tw 13: 3, average value: 1.6666666666666667
tw 14: 9, average value: 2.6666666666666665
tw 15: 5, average value: 2.2
tw 16: 5, average value: 1.6
tw 17: 10, average value: 2.5
tw 18: 3, average value: 2.6666666666666665
tw 19: 8, average value: 1.875
tw 20: 9, average value: 1.8888888888888888
tw 21: 8, average value: 1.625
tw 22: 3, average value: 3.3333333333333335
tw 23: 11, average value: 1.9090909090909092
tw 24: 10, average value: 2.4
tw 25: 8, average value: 1.75
tw 26: 10, average value: 2.4
tw 27: 12, average value: 2.8333333333333335
tw 28: 10, average value: 3.5
tw 29: 8, average value: 2.125
tw 30: 8, average value: 2.125
tw 31: 19, average value: 3.4210526315789473
tw 32: 12, average value: 3.5833333333333335
tw 33: 13, average value: 2.4615384615384617
tw 34: 13, average value: 3.1538461538461537
tw 35: 9, average value: 2.888888888888889
tw 36: 7, average value: 2.4285714285714284
tw 37: 9, average value: 2.3333333333333335
tw 38: 14, average value: 3.2142857142857144
tw 39: 12, average value: 3.25
tw 40: 11, average value: 2.4545454545454546
tw 41: 15, average value: 3.3333333333333335
tw 42: 7, average value: 3.142857142857143
tw 43: 6, average value: 4.333333333333333
tw 44: 14, average value: 2.357142857142857
tw 45: 10, average value: 6.3
tw 46: 12, average value: 4.416666666666667
tw 47: 15, average value: 3.4
tw 48: 13, average value: 2.5384615384615383
tw 49: 8, average value: 2.375
tw 50: 3, average value: 2.3333333333333335
tw 51: 9, average value: 2.5555555555555554
tw 52: 12, average value: 2.75
tw 53: 15, average value: 3.0
tw 54: 9, average value: 3.4444444444444446
tw 55: 11, average value: 3.090909090909091
tw 56: 10, average value: 2.8
tw 57: 9, average value: 2.5555555555555554
tw 58: 10, average value: 2.9
tw 59: 13, average value: 4.3076923076923075
tw 60: 10, average value: 3.0
tw 61: 13, average value: 4.615384615384615
tw 62: 10, average value: 2.4
tw 63: 12, average value: 2.75
tw 64: 8, average value: 2.25
tw 65: 11, average value: 2.0
tw 66: 14, average value: 2.7142857142857144
tw 67: 13, average value: 3.3846153846153846
tw 68: 13, average value: 5.615384615384615
tw 69: 13, average value: 2.6153846153846154
tw 70: 6, average value: 1.6666666666666667
tw 71: 6, average value: 2.8333333333333335
tw 72: 5, average value: 2.0
tw 73: 9, average value: 2.888888888888889
tw 74: 11, average value: 1.7272727272727273
tw 75: 6, average value: 2.8333333333333335
tw 76: 10, average value: 1.7
tw 77: 7, average value: 1.8571428571428572
tw 78: 4, average value: 2.25
tw 79: 6, average value: 1.6666666666666667
tw 80: 15, average value: 3.6
tw 81: 12, average value: 3.1666666666666665
tw 82: 16, average value: 3.8125
tw 83: 10, average value: 3.4
tw 84: 11, average value: 2.6363636363636362
tw 85: 6, average value: 3.3333333333333335
tw 86: 9, average value: 2.6666666666666665
tw 87: 6, average value: 2.6666666666666665
tw 88: 15, average value: 3.8
tw 89: 10, average value: 4.5
tw 90: 14, average value: 3.5
tw 91: 7, average value: 1.8571428571428572
tw 92: 5, average value: 1.6
tw 93: 7, average value: 3.857142857142857
tw 94: 9, average value: 4.0
tw 95: 10, average value: 2.2
tw 96: 10, average value: 3.3
tw 97: 13, average value: 2.923076923076923
tw 98: 8, average value: 3.0
tw 99: 5, average value: 1.2
tw 100: 8, average value: 3.25
tw 101: 10, average value: 4.4
tw 102: 10, average value: 2.9
tw 103: 6, average value: 4.0
tw 104: 7, average value: 2.5714285714285716
tw 105: 7, average value: 2.2857142857142856
tw 106: 6, average value: 1.8333333333333333
tw 107: 7, average value: 2.5714285714285716
tw 108: 12, average value: 5.333333333333333
tw 109: 10, average value: 4.3
tw 110: 15, average value: 2.533333333333333
tw 111: 12, average value: 3.75
tw 112: 9, average value: 4.0
tw 113: 12, average value: 2.9166666666666665
tw 114: 14, average value: 3.9285714285714284
tw 115: 14, average value: 4.285714285714286
tw 116: 15, average value: 4.133333333333334
tw 117: 14, average value: 4.0
tw 118: 10, average value: 3.0
tw 119: 11, average value: 2.272727272727273
tw 120: 7, average value: 2.0
tw 121: 9, average value: 3.111111111111111
tw 122: 16, average value: 1.8125
tw 123: 6, average value: 3.6666666666666665
tw 124: 15, average value: 3.2
tw 125: 13, average value: 3.3076923076923075
tw 126: 13, average value: 2.923076923076923
tw 127: 6, average value: 3.5
tw 128: 8, average value: 5.25
tw 129: 9, average value: 4.222222222222222
tw 130: 12, average value: 2.5833333333333335
tw 131: 12, average value: 2.4166666666666665
tw 132: 5, average value: 2.4
tw 133: 9, average value: 2.2222222222222223
tw 134: 4, average value: 2.5
tw 135: 11, average value: 3.1818181818181817
tw 136: 12, average value: 4.166666666666667
tw 137: 11, average value: 3.4545454545454546
tw 138: 14, average value: 3.0
tw 139: 13, average value: 2.6153846153846154
tw 140: 11, average value: 3.0
tw 141: 6, average value: 2.5
tw 142: 13, average value: 3.1538461538461537
tw 143: 14, average value: 3.142857142857143
tw 144: 10, average value: 2.6
tw 145: 12, average value: 2.3333333333333335
tw 146: 8, average value: 3.625
tw 147: 8, average value: 3.125
tw 148: 5, average value: 2.8
tw 149: 15, average value: 3.533333333333333
tw 150: 14, average value: 3.642857142857143
tw 151: 10, average value: 2.2
tw 152: 12, average value: 2.5
tw 153: 15, average value: 2.8
tw 154: 9, average value: 3.6666666666666665
tw 155: 5, average value: 2.8
tw 156: 13, average value: 2.230769230769231
tw 157: 12, average value: 4.0
tw 158: 17, average value: 2.6470588235294117
tw 159: 18, average value: 3.7777777777777777
tw 160: 10, average value: 3.2
tw 161: 8, average value: 3.375
tw 162: 6, average value: 2.0
tw 163: 12, average value: 3.5
tw 164: 14, average value: 3.5714285714285716
tw 165: 9, average value: 4.111111111111111
tw 166: 17, average value: 4.411764705882353
tw 167: 16, average value: 5.1875
tw 168: 10, average value: 4.0
tw 169: 11, average value: 1.4545454545454546
tw 170: 17, average value: 3.764705882352941
tw 171: 12, average value: 4.333333333333333
tw 172: 15, average value: 4.066666666666666
tw 173: 15, average value: 3.8666666666666667
tw 174: 11, average value: 4.2727272727272725
tw 175: 8, average value: 2.25
tw 176: 6, average value: 1.6666666666666667
tw 177: 8, average value: 4.375
tw 178: 14, average value: 2.5714285714285716
tw 179: 11, average value: 3.1818181818181817
tw 180: 8, average value: 4.25
tw 181: 16, average value: 2.875
tw 182: 6, average value: 2.3333333333333335
tw 183: 6, average value: 2.3333333333333335
tw 184: 11, average value: 3.5454545454545454
tw 185: 14, average value: 2.857142857142857
tw 186: 14, average value: 2.642857142857143
tw 187: 16, average value: 3.4375
tw 188: 9, average value: 3.7777777777777777
tw 189: 7, average value: 2.5714285714285716
tw 190: 5, average value: 3.0
tw 191: 12, average value: 2.9166666666666665
tw 192: 13, average value: 2.4615384615384617
tw 193: 14, average value: 2.2857142857142856
tw 194: 10, average value: 3.5
tw 195: 8, average value: 3.25
tw 196: 5, average value: 2.4
tw 197: 4, average value: 4.0
tw 198: 10, average value: 2.5
tw 199: 12, average value: 3.0
tw 200: 10, average value: 2.7
tw 201: 12, average value: 2.9166666666666665
tw 202: 12, average value: 2.25
tw 203: 5, average value: 1.4
tw 204: 2, average value: 1.5
tw 205: 11, average value: 2.0
tw 206: 10, average value: 2.7
tw 207: 7, average value: 4.142857142857143
tw 208: 6, average value: 2.6666666666666665
tw 209: 10, average value: 3.3
tw 210: 8, average value: 1.5
tw 211: 3, average value: 1.3333333333333333
tw 212: 12, average value: 2.25
tw 213: 11, average value: 2.5454545454545454
tw 214: 4, average value: 1.5
tw 215: 8, average value: 1.75
tw 216: 10, average value: 1.7
tw 217: 5, average value: 1.8
tw 218: 4, average value: 1.5
tw 219: 6, average value: 1.5
tw 220: 7, average value: 1.5714285714285714
tw 221: 9, average value: 2.7777777777777777
tw 222: 15, average value: 2.2666666666666666
tw 223: 10, average value: 2.3
tw 224: 7, average value: 1.7142857142857142
tw 225: 4, average value: 2.5
tw 226: 7, average value: 2.4285714285714284
tw 227: 9, average value: 2.4444444444444446
tw 228: 4, average value: 1.0
tw 229: 5, average value: 2.0
tw 230: 6, average value: 1.6666666666666667
tw 231: 6, average value: 1.1666666666666667
tw 232: 3, average value: 1.0
tw 233: 4, average value: 1.5
tw 234: 9, average value: 2.4444444444444446
tw 235: 8, average value: 1.5
tw 236: 9, average value: 2.4444444444444446
tw 237: 13, average value: 2.0
tw 238: 8, average value: 2.5
tw 239: 4, average value: 1.25
tw 240: 4, average value: 1.75
tw 241: 9, average value: 1.7777777777777777
tw 242: 8, average value: 1.5
tw 243: 5, average value: 1.8
tw 244: 8, average value: 1.625
tw 245: 7, average value: 1.4285714285714286
tw 246: 3, average value: 1.3333333333333333
tw 247: 9, average value: 2.2222222222222223
tw 248: 9, average value: 5.111111111111111
tw 249: 2, average value: 3.0
tw 250: 4, average value: 2.5
tw 251: 10, average value: 2.3
tw 252: 5, average value: 2.8
tw 253: 5, average value: 1.6
tw 254: 11, average value: 2.8181818181818183
tw 255: 10, average value: 2.1
tw 256: 11, average value: 2.6363636363636362
tw 257: 8, average value: 3.375
tw 258: 7, average value: 2.142857142857143
tw 259: 4, average value: 1.75
tw 260: 4, average value: 1.0
tw 261: 7, average value: 2.142857142857143
tw 262: 11, average value: 1.9090909090909092
tw 263: 4, average value: 1.5
tw 264: 8, average value: 2.875
tw 265: 5, average value: 1.8
tw 266: 5, average value: 2.0
tw 267: 2, average value: 1.5
tw 268: 10, average value: 3.1
tw 269: 6, average value: 2.5
tw 270: 11, average value: 2.5454545454545454
tw 271: 9, average value: 3.2222222222222223
tw 272: 9, average value: 1.6666666666666667
tw 273: 11, average value: 2.090909090909091
tw 274: 5, average value: 2.2
tw 275: 12, average value: 1.9166666666666667
tw 276: 8, average value: 2.75
tw 277: 10, average value: 3.2
tw 278: 6, average value: 2.1666666666666665
tw 279: 12, average value: 2.0833333333333335
tw 280: 10, average value: 2.0
tw 281: 6, average value: 1.8333333333333333
tw 282: 15, average value: 2.6666666666666665
tw 283: 13, average value: 3.4615384615384617
tw 284: 13, average value: 3.076923076923077
tw 285: 10, average value: 3.1
tw 286: 12, average value: 3.6666666666666665
tw 287: 9, average value: 2.111111111111111
tw 288: 4, average value: 3.75
tw 289: 13, average value: 3.076923076923077
tw 290: 11, average value: 3.6363636363636362
tw 291: 6, average value: 1.8333333333333333
tw 292: 11, average value: 1.8181818181818181
tw 293: 9, average value: 2.3333333333333335
tw 294: 6, average value: 2.3333333333333335
tw 295: 4, average value: 1.25
tw 296: 6, average value: 5.333333333333333
tw 297: 12, average value: 3.1666666666666665
tw 298: 8, average value: 2.0
tw 299: 8, average value: 2.125
tw 300: 10, average value: 2.2
tw 301: 3, average value: 1.6666666666666667
tw 302: 3, average value: 1.6666666666666667
tw 303: 4, average value: 5.0
tw 304: 9, average value: 2.7777777777777777
tw 305: 10, average value: 2.5
tw 306: 13, average value: 2.0
tw 307: 7, average value: 3.4285714285714284
tw 308: 8, average value: 1.5
tw 309: 4, average value: 1.25
tw 310: 10, average value: 4.0
tw 311: 10, average value: 3.0
tw 312: 11, average value: 2.909090909090909
tw 313: 10, average value: 2.1
tw 314: 10, average value: 3.2
tw 315: 12, average value: 2.1666666666666665
tw 316: 7, average value: 1.2857142857142858
tw 317: 13, average value: 2.8461538461538463
tw 318: 13, average value: 4.538461538461538
tw 319: 11, average value: 3.272727272727273
tw 320: 10, average value: 3.1
tw 321: 12, average value: 3.75
tw 322: 6, average value: 3.5
tw 323: 8, average value: 3.125
tw 324: 12, average value: 6.166666666666667
tw 325: 8, average value: 5.5
tw 326: 13, average value: 3.3846153846153846
tw 327: 9, average value: 3.888888888888889
tw 328: 11, average value: 2.5454545454545454
tw 329: 5, average value: 2.8
tw 330: 6, average value: 1.1666666666666667
tw 331: 10, average value: 3.4
tw 332: 10, average value: 2.7
tw 333: 15, average value: 3.8666666666666667
tw 334: 11, average value: 2.4545454545454546
tw 335: 12, average value: 4.083333333333333
tw 336: 12, average value: 2.1666666666666665
tw 337: 2, average value: 3.0
tw 338: 13, average value: 3.6923076923076925
tw 339: 9, average value: 2.888888888888889
tw 340: 10, average value: 4.5
tw 341: 13, average value: 4.076923076923077
tw 342: 11, average value: 4.636363636363637
tw 343: 9, average value: 2.888888888888889
tw 344: 4, average value: 3.0
tw 345: 11, average value: 6.181818181818182
tw 346: 12, average value: 5.25
tw 347: 10, average value: 4.7
tw 348: 12, average value: 3.0
tw 349: 10, average value: 1.9
tw 350: 9, average value: 2.2222222222222223
tw 351: 3, average value: 3.3333333333333335
tw 352: 13, average value: 4.153846153846154
tw 353: 15, average value: 2.7333333333333334
tw 354: 11, average value: 2.0
tw 355: 7, average value: 3.5714285714285716
tw 356: 8, average value: 3.125
tw 357: 11, average value: 2.1818181818181817
