Number of all enter event candidates: 8173
candidates per time window:
tw 0: 4, average value: 4.5
tw 1: 10, average value: 5.8
tw 2: 18, average value: 3.9444444444444446
tw 3: 14, average value: 3.7142857142857144
tw 4: 14, average value: 3.7857142857142856
tw 5: 0, average value: 0
tw 6: 8, average value: 4.25
tw 7: 15, average value: 4.466666666666667
tw 8: 14, average value: 3.142857142857143
tw 9: 16, average value: 5.75
tw 10: 21, average value: 4.761904761904762
tw 11: 6, average value: 3.8333333333333335
tw 12: 0, average value: 0
tw 13: 12, average value: 4.333333333333333
tw 14: 15, average value: 4.8
tw 15: 16, average value: 7.5625
tw 16: 19, average value: 4.894736842105263
tw 17: 22, average value: 5.909090909090909
tw 18: 12, average value: 2.6666666666666665
tw 19: 1, average value: 3.0
tw 20: 12, average value: 2.9166666666666665
tw 21: 21, average value: 4.095238095238095
tw 22: 20, average value: 4.5
tw 23: 24, average value: 4.041666666666667
tw 24: 23, average value: 3.0869565217391304
tw 25: 11, average value: 4.090909090909091
tw 26: 2, average value: 2.0
tw 27: 19, average value: 4.7894736842105265
tw 28: 20, average value: 6.25
tw 29: 26, average value: 6.961538461538462
tw 30: 27, average value: 8.296296296296296
tw 31: 30, average value: 9.466666666666667
tw 32: 22, average value: 4.636363636363637
tw 33: 1, average value: 3.0
tw 34: 24, average value: 5.541666666666667
tw 35: 26, average value: 8.423076923076923
tw 36: 34, average value: 8.441176470588236
tw 37: 31, average value: 7.064516129032258
tw 38: 27, average value: 7.962962962962963
tw 39: 21, average value: 6.190476190476191
tw 40: 3, average value: 1.3333333333333333
tw 41: 19, average value: 3.8421052631578947
tw 42: 29, average value: 10.310344827586206
tw 43: 29, average value: 8.862068965517242
tw 44: 31, average value: 8.03225806451613
tw 45: 28, average value: 10.285714285714286
tw 46: 23, average value: 4.478260869565218
tw 47: 1, average value: 4.0
tw 48: 22, average value: 5.181818181818182
tw 49: 30, average value: 7.766666666666667
tw 50: 36, average value: 10.11111111111111
tw 51: 28, average value: 8.464285714285714
tw 52: 31, average value: 8.129032258064516
tw 53: 28, average value: 5.321428571428571
tw 54: 5, average value: 4.6
tw 55: 21, average value: 5.190476190476191
tw 56: 34, average value: 9.823529411764707
tw 57: 34, average value: 9.558823529411764
tw 58: 34, average value: 8.970588235294118
tw 59: 27, average value: 8.037037037037036
tw 60: 23, average value: 5.0
tw 61: 4, average value: 1.75
tw 62: 22, average value: 6.136363636363637
tw 63: 27, average value: 9.185185185185185
tw 64: 23, average value: 7.434782608695652
tw 65: 27, average value: 9.11111111111111
tw 66: 31, average value: 8.290322580645162
tw 67: 22, average value: 5.0
tw 68: 5, average value: 4.0
tw 69: 23, average value: 5.608695652173913
tw 70: 31, average value: 7.870967741935484
tw 71: 25, average value: 11.2
tw 72: 29, average value: 6.793103448275862
tw 73: 28, average value: 8.321428571428571
tw 74: 26, average value: 4.653846153846154
tw 75: 3, average value: 2.6666666666666665
tw 76: 29, average value: 5.758620689655173
tw 77: 26, average value: 8.846153846153847
tw 78: 29, average value: 9.620689655172415
tw 79: 29, average value: 9.379310344827585
tw 80: 29, average value: 9.068965517241379
tw 81: 19, average value: 6.684210526315789
tw 82: 2, average value: 9.0
tw 83: 22, average value: 7.2272727272727275
tw 84: 31, average value: 8.741935483870968
tw 85: 32, average value: 9.46875
tw 86: 30, average value: 8.866666666666667
tw 87: 33, average value: 7.303030303030303
tw 88: 18, average value: 5.888888888888889
tw 89: 7, average value: 3.7142857142857144
tw 90: 22, average value: 5.2727272727272725
tw 91: 34, average value: 7.764705882352941
tw 92: 26, average value: 9.923076923076923
tw 93: 28, average value: 7.428571428571429
tw 94: 27, average value: 8.148148148148149
tw 95: 20, average value: 4.3
tw 96: 3, average value: 11.333333333333334
tw 97: 22, average value: 5.863636363636363
tw 98: 31, average value: 8.064516129032258
tw 99: 32, average value: 9.96875
tw 100: 31, average value: 9.290322580645162
tw 101: 33, average value: 6.7272727272727275
tw 102: 22, average value: 5.0
tw 103: 3, average value: 1.6666666666666667
tw 104: 29, average value: 5.172413793103448
tw 105: 33, average value: 9.515151515151516
tw 106: 31, average value: 7.612903225806452
tw 107: 29, average value: 9.068965517241379
tw 108: 30, average value: 7.8
tw 109: 26, average value: 5.846153846153846
tw 110: 4, average value: 4.0
tw 111: 26, average value: 7.076923076923077
tw 112: 34, average value: 9.058823529411764
tw 113: 33, average value: 7.787878787878788
tw 114: 22, average value: 9.5
tw 115: 31, average value: 7.387096774193548
tw 116: 22, average value: 6.045454545454546
tw 117: 3, average value: 4.666666666666667
tw 118: 27, average value: 5.407407407407407
tw 119: 29, average value: 6.068965517241379
tw 120: 26, average value: 7.8076923076923075
tw 121: 31, average value: 7.161290322580645
tw 122: 29, average value: 8.413793103448276
tw 123: 17, average value: 5.529411764705882
tw 124: 7, average value: 3.0
tw 125: 32, average value: 4.03125
tw 126: 26, average value: 8.115384615384615
tw 127: 33, average value: 7.848484848484849
tw 128: 33, average value: 8.242424242424242
tw 129: 32, average value: 6.0
tw 130: 27, average value: 4.444444444444445
tw 131: 2, average value: 8.0
tw 132: 23, average value: 5.043478260869565
tw 133: 36, average value: 7.25
tw 134: 32, average value: 9.34375
tw 135: 27, average value: 8.666666666666666
tw 136: 26, average value: 8.076923076923077
tw 137: 19, average value: 5.842105263157895
tw 138: 4, average value: 5.5
tw 139: 23, average value: 5.956521739130435
tw 140: 31, average value: 6.580645161290323
tw 141: 35, average value: 8.714285714285714
tw 142: 32, average value: 7.34375
tw 143: 28, average value: 8.357142857142858
tw 144: 27, average value: 3.962962962962963
tw 145: 2, average value: 1.5
tw 146: 23, average value: 5.913043478260869
tw 147: 30, average value: 7.6
tw 148: 28, average value: 8.678571428571429
tw 149: 36, average value: 6.333333333333333
tw 150: 31, average value: 9.290322580645162
tw 151: 20, average value: 6.55
tw 152: 3, average value: 4.0
tw 153: 28, average value: 7.607142857142857
tw 154: 34, average value: 9.617647058823529
tw 155: 28, average value: 10.75
tw 156: 24, average value: 9.916666666666666
tw 157: 25, average value: 9.08
tw 158: 20, average value: 4.55
tw 159: 8, average value: 5.375
tw 160: 29, average value: 6.896551724137931
tw 161: 32, average value: 8.875
tw 162: 31, average value: 9.451612903225806
tw 163: 33, average value: 8.515151515151516
tw 164: 25, average value: 9.08
tw 165: 14, average value: 5.0
tw 166: 2, average value: 4.5
tw 167: 20, average value: 8.55
tw 168: 36, average value: 8.083333333333334
tw 169: 35, average value: 8.228571428571428
tw 170: 29, average value: 11.275862068965518
tw 171: 29, average value: 5.896551724137931
tw 172: 21, average value: 5.0
tw 173: 5, average value: 2.8
tw 174: 20, average value: 5.75
tw 175: 30, average value: 7.5
tw 176: 29, average value: 7.758620689655173
tw 177: 28, average value: 7.571428571428571
