,eid1,eid2
0,36418,36421
1,37672,37671
2,36424,36427
3,23,36427
4,36428,36431
5,31140,31143
6,25449,31143
7,29472,6688
8,29472,29475
9,6677,6688
10,6677,29475
11,25456,25459
12,6700,25459
13,31148,31151
14,32698,32701
15,36458,36461
16,32699,32701
17,184,36461
18,31156,32702
19,37970,6745
20,37970,6753
21,37970,37973
22,37971,39667
23,6734,6745
24,6734,6753
25,6734,37973
26,37976,39672
27,37976,37979
28,37976,6782
29,27790,27793
30,29488,27792
31,31162,31165
32,32704,32707
33,6789,31165
34,6790,31165
35,6808,31165
36,6788,27793
37,6791,31165
38,221,228
39,39677,29495
40,36474,36477
41,29498,29501
42,29498,6911
43,25484,26935
44,26932,27806
45,26932,26935
46,26932,6950
47,26932,6951
48,23763,26935
49,25485,26935
50,6923,26935
51,6938,26935
52,6925,26935
53,6939,26935
54,6926,26935
55,37994,6989
56,6956,45469
57,6957,45469
58,279,286
59,25488,31183
60,31180,31183
61,25489,31183
62,29507,7026
63,6976,7026
64,6977,31183
65,6996,31183
66,29508,29511
67,23776,7137
68,29516,7135
69,29516,7134
70,29516,29518
71,29516,29519
72,31190,32714
73,31190,7138
74,31190,31193
75,34444,323
76,34444,7132
77,34444,34447
78,34445,323
79,34445,34447
80,7100,7135
81,7100,7134
82,7100,29518
83,7100,29519
84,7117,323
85,315,322
86,29518,29520
87,29518,29521
88,29518,7162
89,29518,7171
90,31192,31195
91,36486,36489
92,36486,331
93,29519,29521
94,29519,7162
95,29519,7171
96,7134,29521
97,7134,7162
98,7134,7171
99,7135,29521
100,7135,7162
101,7135,7171
102,324,331
103,29520,29523
104,29520,7203
105,29520,7204
106,29521,7204
107,7165,31197
108,7171,7203
109,7171,7204
110,7184,31197
111,7194,27824
112,7194,29523
113,7194,7203
114,7194,7204
115,25506,31200
116,25506,7242
117,25506,25509
118,25510,32720
119,25510,31205
120,25510,7271
121,31202,32720
122,31202,31205
123,31202,7271
124,36496,36499
125,23791,371
126,23791,31205
127,23791,7271
128,25511,32720
129,25511,31205
130,25511,7271
131,7251,31205
132,7251,7271
133,7252,7276
134,7252,7287
135,7259,31205
136,7259,7271
137,364,371
138,364,31205
139,43122,384
140,43122,7293
141,43122,43125
142,377,384
143,36502,36505
144,36502,394
145,39719,27840
146,387,36505
147,387,394
148,36506,36509
149,23810,25530
150,23810,23813
151,43144,38050
152,23822,23825
153,23822,483
154,26960,26963
155,34474,34477
156,36522,36525
157,36528,36531
158,513,36531
159,29574,29577
160,29574,7683
161,29574,7684
162,36540,569
163,36540,36543
164,39765,29576
165,39765,29577
166,7656,29577
167,7656,7683
168,7656,7684
169,560,567
170,562,569
171,23844,25564
172,23844,25565
173,23844,574
174,23844,23847
175,27888,27891
176,29576,29579
177,567,574
178,567,23847
179,43174,43177
180,587,594
181,29584,29587
182,29584,7798
183,29584,7799
184,29590,7864
185,29590,7865
186,29590,29593
187,39781,29593
188,7821,31267
189,7821,7887
190,7824,31267
191,7829,29593
192,7825,31267
193,7848,31267
194,7831,27905
195,7831,7887
196,43182,43185
197,31272,31275
198,25583,31275
199,36556,36559
200,660,36559
201,25590,31283
202,25590,8067
203,31280,31283
204,31280,8067
205,23877,31283
206,23877,8067
207,25591,31283
208,25591,8067
209,8039,31283
210,8039,8067
211,8045,31283
212,8045,8067
213,8041,31283
214,8041,8067
215,8046,31283
216,8046,8067
217,43190,44609
218,32770,32773
219,38112,8114
220,44608,45544
221,44608,45545
222,44609,45544
223,44609,45545
224,8098,8114
225,8098,8116
226,720,45544
227,720,45545
228,44618,45552
229,44619,45552
230,8160,8173
231,8160,8174
232,29620,29623
233,29620,8210
234,29620,29622
235,29620,8207
236,39817,767
237,39817,29623
238,8168,29623
239,8168,8210
240,8168,29622
241,8168,8207
242,29622,29625
243,34520,34523
244,38128,38131
245,38128,8292
246,38128,39822
247,25608,34525
248,34522,35536
249,34522,34525
250,25609,34525
251,34523,34525
252,8301,34525
253,34072,34298
254,34072,34075
255,34298,34301
256,34298,31309
257,34075,34301
258,34075,31309
259,8358,8412
260,8359,8412
261,8400,27953
262,29634,29637
263,29634,23910
264,38136,38139
265,38136,8501
266,38136,8502
267,44629,45562
268,44629,8501
269,8455,38139
270,8455,8501
271,8455,8502
272,23910,23913
273,23910,25620
274,23910,25621
275,23910,8600
276,23910,8601
277,23910,8573
278,23910,8574
279,39832,39835
280,29638,29641
281,36596,835
282,36596,36599
283,828,835
284,828,36599
285,25628,25631
286,36602,36605
287,29648,29651
288,29650,29653
289,36606,36609
290,23926,25634
