number of different activities: for type : enter: 34
('place order', 'pick item'): 122
('pick item', 'confirm order'): 91
('confirm order', 'pay order'): 200
('pay order', 'create package'): 44
('create package', 'send package'): 289
('send package', 'package delivered'): 260
('place order', 'confirm order'): 300
('confirm order', 'pick item'): 222
('pick item', 'create package'): 258
('send package', 'pay order'): 9
('pay order', 'package delivered'): 5
('confirm order', 'create package'): 71
('confirm order', 'item out of stock'): 19
('item out of stock', 'reorder item'): 28
('reorder item', 'pick item'): 17
('package delivered', 'pay order'): 163
('package delivered', 'payment reminder'): 103
('payment reminder', 'pay order'): 136
('place order', 'item out of stock'): 1
('pick item', 'pay order'): 15
('pay order', 'pick item'): 65
('reorder item', 'pay order'): 1
('send package', 'failed delivery'): 99
('failed delivery', 'package delivered'): 94
('failed delivery', 'failed delivery'): 42
('payment reminder', 'payment reminder'): 33
('create package', 'pay order'): 5
('pay order', 'send package'): 4
('failed delivery', 'pay order'): 2
('pay order', 'failed delivery'): 1
('create package', 'confirm order'): 4
('confirm order', 'send package'): 3
('confirm order', 'package delivered'): 1
('confirm order', 'payment reminder'): 2
