number of different activities: for type : exit: 34
('place order', 'pick item'): 140
('pick item', 'confirm order'): 99
('confirm order', 'pay order'): 194
('pay order', 'create package'): 41
('create package', 'send package'): 273
('send package', 'package delivered'): 254
('place order', 'confirm order'): 274
('confirm order', 'pick item'): 232
('pick item', 'create package'): 260
('send package', 'pay order'): 4
('pay order', 'package delivered'): 8
('confirm order', 'create package'): 63
('confirm order', 'item out of stock'): 11
('item out of stock', 'reorder item'): 35
('reorder item', 'pick item'): 15
('package delivered', 'pay order'): 166
('package delivered', 'payment reminder'): 104
('payment reminder', 'pay order'): 133
('place order', 'item out of stock'): 1
('pick item', 'pay order'): 23
('pay order', 'pick item'): 53
('reorder item', 'pay order'): 2
('send package', 'failed delivery'): 94
('failed delivery', 'package delivered'): 99
('failed delivery', 'failed delivery'): 42
('payment reminder', 'payment reminder'): 33
('create package', 'pay order'): 4
('pay order', 'send package'): 6
('failed delivery', 'pay order'): 2
('pay order', 'failed delivery'): 2
('create package', 'confirm order'): 3
('confirm order', 'send package'): 2
('send package', 'confirm order'): 1
('confirm order', 'payment reminder'): 1
